ex_block_i_gen_multdiv_fast.multdiv_i_op_quotient_q_reg\[22\] | DFFRHQX1                  | Physically Disconnected
ex_block_i_alu_i_add_76_52_g20198 | NOR2X1                    | Physically Disconnected
ex_block_i_alu_i_add_76_52_g19698 | NAND2X1                   | Physically Disconnected
ex_block_i_alu_i_add_76_52_g19778 | NAND2X1                   | Physically Disconnected
ex_block_i_alu_i_add_76_52_g19799 | NAND2X1                   | Physically Disconnected
ex_block_i_alu_i_add_76_52_g19800 | NAND2X1                   | Physically Disconnected
ex_block_i_alu_i_add_76_52_g19829 | NAND2X1                   | Physically Disconnected
ex_block_i_alu_i_add_76_52_g19844 | NAND2X1                   | Physically Disconnected
ex_block_i_alu_i_add_76_52_g19872 | NAND2X1                   | Physically Disconnected
ex_block_i_alu_i_add_76_52_g19874 | NAND2X1                   | Physically Disconnected
ex_block_i_alu_i_add_76_52_g20021 | NAND2X1                   | Physically Disconnected
ex_block_i_alu_i_add_76_52_g20024 | NAND2X1                   | Physically Disconnected
ex_block_i_alu_i_add_76_52_g20090 | NAND2X1                   | Physically Disconnected
ex_block_i_alu_i_add_76_52_g20128 | NAND2X1                   | Physically Disconnected
ex_block_i_alu_i_add_76_52_g20197 | NAND2X1                   | Physically Disconnected
ex_block_i_alu_i_add_76_52_g20205 | NOR2BX1                   | Physically Disconnected
g73707                    | OAI2BB1X1                 | Physically Disconnected
ex_block_i_alu_i_add_76_52_g19924 | OAI2BB1X1                 | Physically Disconnected
ex_block_i_alu_i_add_76_52_g19953 | OAI2BB1X1                 | Physically Disconnected
ex_block_i_alu_i_add_76_52_g19843 | AND2X1                    | Physically Disconnected
ex_block_i_alu_i_add_76_52_g20196 | AND2X1                    | Physically Disconnected
FE_RC_108_0               | AOI31X4                   | Physically Disconnected
ex_block_i_alu_i_add_76_52_g20000 | OR2XL                     | Physically Disconnected
ex_block_i_alu_i_add_76_52_g20130 | NOR2X2                    | Physically Disconnected
ex_block_i_alu_i_add_76_52_g20183 | NOR2X2                    | Physically Disconnected
ex_block_i_alu_i_add_76_52_g20126 | OR2X1                     | Physically Disconnected
ex_block_i_alu_i_add_76_52_g19934 | AOI2BB1XL                 | Physically Disconnected
ex_block_i_alu_i_add_76_52_g19848 | AOI21X1                   | Physically Disconnected
ex_block_i_alu_i_add_76_52_g19930 | AOI21X1                   | Physically Disconnected
ex_block_i_alu_i_add_76_52_g19935 | AOI21X1                   | Physically Disconnected
ex_block_i_alu_i_add_76_52_g19946 | AOI21X1                   | Physically Disconnected
ex_block_i_alu_i_add_76_52_g20006 | AOI21X1                   | Physically Disconnected
ex_block_i_alu_i_add_76_52_g20020 | NAND2XL                   | Physically Disconnected
ex_block_i_alu_i_add_76_52_g20038 | NAND2XL                   | Physically Disconnected
ex_block_i_alu_i_add_76_52_g20076 | NAND2XL                   | Physically Disconnected
ex_block_i_alu_i_add_76_52_g20135 | NAND2X2                   | Physically Disconnected
ex_block_i_alu_i_add_76_52_g20125 | AND2XL                    | Physically Disconnected
ex_block_i_alu_i_add_76_52_g19937 | NAND3X1                   | Physically Disconnected
ex_block_i_alu_i_add_76_52_g19940 | OAI211X1                  | Physically Disconnected
ex_block_i_alu_i_add_76_52_g19756 | OAI21X1                   | Physically Disconnected
ex_block_i_alu_i_add_76_52_g19798 | OAI21X1                   | Physically Disconnected
ex_block_i_alu_i_add_76_52_g19801 | OAI21X1                   | Physically Disconnected
ex_block_i_alu_i_add_76_52_g19866 | OAI21X1                   | Physically Disconnected
ex_block_i_alu_i_add_76_52_g19880 | OAI21X1                   | Physically Disconnected
ex_block_i_alu_i_add_76_52_g19891 | OAI21X1                   | Physically Disconnected
ex_block_i_alu_i_add_76_52_g19892 | OAI21X1                   | Physically Disconnected
ex_block_i_alu_i_add_76_52_g19907 | OAI21X1                   | Physically Disconnected
ex_block_i_alu_i_add_76_52_g19971 | OAI21X1                   | Physically Disconnected
ex_block_i_alu_i_add_76_52_g20003 | OAI21X1                   | Physically Disconnected
ex_block_i_alu_i_add_76_52_g19992 | NAND3BXL                  | Physically Disconnected
g102633                   | OAI22X1                   | Physically Disconnected
g102323                   | AOI22X1                   | Physically Disconnected
g102361                   | AOI22X1                   | Physically Disconnected
g102364                   | AOI22X1                   | Physically Disconnected
g102271                   | OA22X1                    | Physically Disconnected
g102298                   | OA22X1                    | Physically Disconnected
g101204__5107             | AOI222X1                  | Physically Disconnected
g102386                   | AO21XL                    | Physically Disconnected
g101446__7410             | AOI32X1                   | Physically Disconnected
g101474__7410             | AOI32X1                   | Physically Disconnected
g101476__5477             | AOI32X1                   | Physically Disconnected
g101354__8428             | OAI22XL                   | Physically Disconnected
g102218                   | AND3XL                    | Physically Disconnected
g102940                   | MXI2XL                    | Physically Disconnected
g102870                   | XNOR2X1                   | Physically Disconnected
g102876                   | XNOR2X1                   | Physically Disconnected
RC_CG_HIER_INST28/FE_USKC135_rc_gclk_52128 | CLKBUFX8                  | Physically Disconnected
RC_CG_HIER_INST28/FE_USKC86_rc_gclk_52128 | CLKBUFX4                  | Physically Disconnected
RC_CG_HIER_INST28/FE_USKC84_rc_gclk_52128 | CLKBUFX4                  | Physically Disconnected
RC_CG_HIER_INST28/FE_USKC55_rc_gclk_52128 | CLKBUFX4                  | Physically Disconnected
RC_CG_HIER_INST28/RC_CGIC_INST | TLATNTSCAX2               | Physically Disconnected
RC_CG_HIER_INST24/TOP_LTIELO | TIELO                     | Physically Disconnected
g103185                   | INVX1                     | Physically Disconnected
g103192                   | INVX1                     | Physically Disconnected
g73730                    | NAND2X1                   | Physically Disconnected
g74204                    | NAND2X1                   | Physically Disconnected
g74206                    | NAND2X1                   | Physically Disconnected
g74218                    | NAND2X1                   | Physically Disconnected
g73726                    | OAI2BB1X1                 | Physically Disconnected
g101269__3680             | AOI221X1                  | Physically Disconnected
g101276__6131             | AOI221X1                  | Physically Disconnected
gen_regfile_latch.register_file_i_mem_reg\[1\]\[17\] | TLATNXL                   | Physically Disconnected
gen_regfile_latch.register_file_i_mem_reg\[1\]\[19\] | TLATNXL                   | Physically Disconnected
g102883                   | MX2XL                     | Physically Disconnected
g102887                   | MX2XL                     | Physically Disconnected
g102892                   | MX2XL                     | Physically Disconnected
g101193__6161             | NAND4XL                   | Physically Disconnected
g101224__9945             | NAND4XL                   | Physically Disconnected
g101242__1705             | NAND4XL                   | Physically Disconnected
g101243__5122             | NAND4XL                   | Physically Disconnected
g101244__8246             | NAND4XL                   | Physically Disconnected
g101179__5526             | NAND3BXL                  | Physically Disconnected
g101190__5115             | NAND3BXL                  | Physically Disconnected
gen_regfile_latch.register_file_i_wdata_a_q_reg\[18\] | DFFRHQX1                  | Physically Disconnected
gen_regfile_latch.register_file_i_wdata_a_q_reg\[28\] | DFFRHQX1                  | Physically Disconnected
g101466__7482             | AOI32X1                   | Physically Disconnected
g101467__4733             | AOI32X1                   | Physically Disconnected
g101470__9945             | AOI32X1                   | Physically Disconnected
g101471__2883             | AOI32X1                   | Physically Disconnected
g101478__5107             | AOI32X1                   | Physically Disconnected
g103265                   | XOR2XL                    | Physically Disconnected
g103267                   | XOR2XL                    | Physically Disconnected
g68476__7098              | NOR2BX1                   | Physically Disconnected
g68477__6131              | NOR2BX1                   | Physically Disconnected
g68501__2802              | NOR2BX1                   | Physically Disconnected
g68510__4733              | NOR2BX1                   | Physically Disconnected
g68525__5526              | NOR2BX1                   | Physically Disconnected
g68531__5122              | NOR2BX1                   | Physically Disconnected
g69027__2398              | NOR2BX1                   | Physically Disconnected
g90854                    | OAI2BB1X1                 | Physically Disconnected
g90862                    | OAI2BB1X1                 | Physically Disconnected
g90866                    | OAI2BB1X1                 | Physically Disconnected
g90870                    | OAI2BB1X1                 | Physically Disconnected
g90871                    | OAI2BB1X1                 | Physically Disconnected
g90872                    | OAI2BB1X1                 | Physically Disconnected
g90288                    | AOI221X1                  | Physically Disconnected
g90297                    | AOI221X1                  | Physically Disconnected
g90298                    | AOI221X1                  | Physically Disconnected
g90301                    | AOI221X1                  | Physically Disconnected
g90306                    | AOI221X1                  | Physically Disconnected
g90314                    | AOI221X1                  | Physically Disconnected
g90442                    | AOI221X1                  | Physically Disconnected
g68443__2802              | MX2X1                     | Physically Disconnected
g68456__2883              | MX2X1                     | Physically Disconnected
g68455__9945              | AO22X2                    | Physically Disconnected
g68457__2346              | AO22X2                    | Physically Disconnected
g68454__9315              | MX2XL                     | Physically Disconnected
g91050                    | MX2XL                     | Physically Disconnected
g68459__7410              | NOR3BXL                   | Physically Disconnected
g91875                    | AND2XL                    | Physically Disconnected
g102900                   | AOI22XL                   | Physically Disconnected
g102904                   | AOI22XL                   | Physically Disconnected
g102906                   | AOI22XL                   | Physically Disconnected
g102907                   | AOI22XL                   | Physically Disconnected
g102908                   | AOI22XL                   | Physically Disconnected
g102909                   | AOI22XL                   | Physically Disconnected
g102914                   | AOI22XL                   | Physically Disconnected
g102920                   | AOI22XL                   | Physically Disconnected
g102922                   | AOI22XL                   | Physically Disconnected
g102924                   | AOI22XL                   | Physically Disconnected
g102938                   | AOI22XL                   | Physically Disconnected
g90908                    | AOI22X1                   | Physically Disconnected
g90920                    | AOI22X1                   | Physically Disconnected
g91022                    | AOI22X1                   | Physically Disconnected
g91023                    | AOI22X1                   | Physically Disconnected
g91024                    | AOI22X1                   | Physically Disconnected
g91025                    | AOI22X1                   | Physically Disconnected
g74167                    | OA22X1                    | Physically Disconnected
g74181                    | OA22X1                    | Physically Disconnected
g69025__6417              | AO21X1                    | Physically Disconnected
gen_regfile_latch.register_file_i_wdata_a_q_reg\[14\] | DFFRHQX1                  | Physically Disconnected
id_stage_i_imd_val_q_reg\[6\] | DFFRHQX1                  | Physically Disconnected
id_stage_i_imd_val_q_reg\[11\] | DFFRHQX1                  | Physically Disconnected
id_stage_i_imd_val_q_reg\[12\] | DFFRHQX1                  | Physically Disconnected
id_stage_i_imd_val_q_reg\[13\] | DFFRHQX1                  | Physically Disconnected
id_stage_i_imd_val_q_reg\[45\] | DFFRHQX1                  | Physically Disconnected
id_stage_i_imd_val_q_reg\[65\] | DFFRX1                    | Physically Disconnected
g102692                   | OAI22XL                   | Physically Disconnected
g102696                   | OAI22XL                   | Physically Disconnected
g102703                   | OAI22XL                   | Physically Disconnected
g102704                   | OAI22XL                   | Physically Disconnected
g102706                   | OAI22XL                   | Physically Disconnected
g102708                   | OAI22XL                   | Physically Disconnected
g102709                   | OAI22XL                   | Physically Disconnected
g102710                   | OAI22XL                   | Physically Disconnected
g102715                   | OAI22XL                   | Physically Disconnected
g102716                   | OAI22XL                   | Physically Disconnected
g74168                    | OAI22XL                   | Physically Disconnected
g90718                    | INVXL                     | Physically Disconnected
g90719                    | INVXL                     | Physically Disconnected
g90721                    | INVXL                     | Physically Disconnected
g90722                    | INVXL                     | Physically Disconnected
g90724                    | INVXL                     | Physically Disconnected
FE_DBTC15_ex_block_i_gen_multdiv_fast_multdiv_i_gen_mult_fast_mult_state_q_0 | INVX1                     | Physically Disconnected
g69008                    | INVX1                     | Physically Disconnected
g68472__2802              | NOR2BX1                   | Physically Disconnected
g68474__5122              | NOR2BX1                   | Physically Disconnected
g68475__8246              | NOR2BX1                   | Physically Disconnected
g68521__5107              | NOR2BX1                   | Physically Disconnected
g68523__4319              | NOR2BX1                   | Physically Disconnected
g90850                    | OAI2BB1X1                 | Physically Disconnected
g90859                    | OAI2BB1X1                 | Physically Disconnected
g90867                    | OAI2BB1X1                 | Physically Disconnected
g90868                    | OAI2BB1X1                 | Physically Disconnected
g90290                    | AOI221X1                  | Physically Disconnected
g90291                    | AOI221X1                  | Physically Disconnected
g90293                    | AOI221X1                  | Physically Disconnected
g90433                    | AOI221X1                  | Physically Disconnected
g68437__4319              | OR2X2                     | Physically Disconnected
g91041                    | MX2XL                     | Physically Disconnected
g91129                    | MX2XL                     | Physically Disconnected
g68461__5477              | NOR3BX1                   | Physically Disconnected
g68464__6260              | NOR3BX1                   | Physically Disconnected
g90310                    | OAI211X1                  | Physically Disconnected
g90321                    | OAI211X1                  | Physically Disconnected
g102903                   | AOI22XL                   | Physically Disconnected
g102915                   | AOI22XL                   | Physically Disconnected
g102923                   | AOI22XL                   | Physically Disconnected
g102927                   | AOI22XL                   | Physically Disconnected
g102928                   | AOI22XL                   | Physically Disconnected
g102930                   | AOI22XL                   | Physically Disconnected
g90330                    | AOI22X1                   | Physically Disconnected
g90337                    | AOI22X1                   | Physically Disconnected
g90907                    | AOI22X1                   | Physically Disconnected
g90914                    | AOI22X1                   | Physically Disconnected
g90915                    | AOI22X1                   | Physically Disconnected
g90922                    | AOI22X1                   | Physically Disconnected
g90923                    | AOI22X1                   | Physically Disconnected
g90924                    | AOI22X1                   | Physically Disconnected
g90931                    | AOI22X1                   | Physically Disconnected
g91075                    | AOI22X1                   | Physically Disconnected
id_stage_i_imd_val_q_reg\[1\] | DFFRHQX1                  | Physically Disconnected
id_stage_i_imd_val_q_reg\[8\] | DFFRHQX1                  | Physically Disconnected
id_stage_i_imd_val_q_reg\[10\] | DFFRHQX1                  | Physically Disconnected
id_stage_i_imd_val_q_reg\[41\] | DFFRHQX1                  | Physically Disconnected
id_stage_i_imd_val_q_reg\[42\] | DFFRHQX1                  | Physically Disconnected
g102690                   | OAI22XL                   | Physically Disconnected
g102694                   | OAI22XL                   | Physically Disconnected
g102699                   | OAI22XL                   | Physically Disconnected
g102700                   | OAI22XL                   | Physically Disconnected
g102701                   | OAI22XL                   | Physically Disconnected
g102707                   | OAI22XL                   | Physically Disconnected
g102711                   | OAI22XL                   | Physically Disconnected
g102712                   | OAI22XL                   | Physically Disconnected
g102713                   | OAI22XL                   | Physically Disconnected
g102714                   | OAI22XL                   | Physically Disconnected
g102718                   | OAI22XL                   | Physically Disconnected
g102719                   | OAI22XL                   | Physically Disconnected
g102720                   | OAI22XL                   | Physically Disconnected
g91441                    | INVX1                     | Physically Disconnected
g91442                    | INVX1                     | Physically Disconnected
g101747__5122             | OAI2BB1X1                 | Physically Disconnected
g101748__8246             | OAI2BB1X1                 | Physically Disconnected
g101659__1881             | AOI221X1                  | Physically Disconnected
g101818                   | AOI221X1                  | Physically Disconnected
g91587                    | NAND2XL                   | Physically Disconnected
g91121                    | OAI221X1                  | Physically Disconnected
g101866                   | AOI22X1                   | Physically Disconnected
cs_registers_i_u_mstack_epc_csr_rdata_q_reg\[0\] | DFFRHQX1                  | Physically Disconnected
cs_registers_i_u_mstack_epc_csr_rdata_q_reg\[24\] | DFFRHQX1                  | Physically Disconnected
cs_registers_i_u_mstack_epc_csr_rdata_q_reg\[25\] | DFFRHQX1                  | Physically Disconnected
cs_registers_i_u_mstack_epc_csr_rdata_q_reg\[27\] | DFFRHQX1                  | Physically Disconnected
cs_registers_i_u_mstack_epc_csr_rdata_q_reg\[30\] | DFFRHQX1                  | Physically Disconnected
cs_registers_i_u_depc_csr_rdata_q_reg\[22\] | DFFRHQX1                  | Physically Disconnected
cs_registers_i_u_depc_csr_rdata_q_reg\[24\] | DFFRHQX1                  | Physically Disconnected
cs_registers_i_u_depc_csr_rdata_q_reg\[29\] | DFFRHQX1                  | Physically Disconnected
cs_registers_i_u_mepc_csr_rdata_q_reg\[0\] | DFFRHQX1                  | Physically Disconnected
cs_registers_i_u_mepc_csr_rdata_q_reg\[20\] | DFFRHQX1                  | Physically Disconnected
cs_registers_i_u_mepc_csr_rdata_q_reg\[22\] | DFFRHQX1                  | Physically Disconnected
cs_registers_i_u_mepc_csr_rdata_q_reg\[24\] | DFFRHQX1                  | Physically Disconnected
cs_registers_i_u_mepc_csr_rdata_q_reg\[25\] | DFFRHQX1                  | Physically Disconnected
cs_registers_i_u_mepc_csr_rdata_q_reg\[27\] | DFFRHQX1                  | Physically Disconnected
cs_registers_i_u_mepc_csr_rdata_q_reg\[28\] | DFFRHQX1                  | Physically Disconnected
cs_registers_i_u_mepc_csr_rdata_q_reg\[30\] | DFFRHQX1                  | Physically Disconnected
cs_registers_i_u_mtvec_csr_rdata_q_reg\[27\] | SDFFRHQX1                 | Physically Disconnected
g91615                    | INVXL                     | Physically Disconnected
g91616                    | INVXL                     | Physically Disconnected
g102367                   | INVX1                     | Physically Disconnected
g91015                    | INVX1                     | Physically Disconnected
g91436                    | INVX1                     | Physically Disconnected
g91446                    | INVX1                     | Physically Disconnected
g91447                    | INVX1                     | Physically Disconnected
g91340                    | NOR2X1                    | Physically Disconnected
g101716__7098             | OAI2BB1X1                 | Physically Disconnected
g101750__6131             | OAI2BB1X1                 | Physically Disconnected
g102291                   | OAI2BB1X1                 | Physically Disconnected
g101816                   | AOI221X1                  | Physically Disconnected
g91036                    | AOI221X1                  | Physically Disconnected
g91038                    | AOI221X1                  | Physically Disconnected
g91574                    | NAND2XL                   | Physically Disconnected
g91575                    | NAND2XL                   | Physically Disconnected
g91113                    | OAI221X1                  | Physically Disconnected
g91114                    | OAI221X1                  | Physically Disconnected
g91116                    | OAI221X1                  | Physically Disconnected
g90792                    | OAI22X1                   | Physically Disconnected
g90793                    | OAI22X1                   | Physically Disconnected
g90795                    | OAI22X1                   | Physically Disconnected
g90796                    | OAI22X1                   | Physically Disconnected
g91102                    | OAI22X1                   | Physically Disconnected
g91103                    | OAI22X1                   | Physically Disconnected
g101617__8428             | OAI21XL                   | Physically Disconnected
g101833                   | AOI22X1                   | Physically Disconnected
g101860                   | AOI22X1                   | Physically Disconnected
g101861                   | AOI22X1                   | Physically Disconnected
g101873                   | AOI22X1                   | Physically Disconnected
cs_registers_i_u_mstack_cause_csr_rdata_q_reg\[5\] | DFFRHQX1                  | Physically Disconnected
cs_registers_i_u_depc_csr_rdata_q_reg\[11\] | DFFRHQX1                  | Physically Disconnected
cs_registers_i_u_depc_csr_rdata_q_reg\[16\] | DFFRHQX1                  | Physically Disconnected
cs_registers_i_u_depc_csr_rdata_q_reg\[19\] | DFFRHQX1                  | Physically Disconnected
cs_registers_i_u_depc_csr_rdata_q_reg\[21\] | DFFRHQX1                  | Physically Disconnected
cs_registers_i_u_depc_csr_rdata_q_reg\[23\] | DFFRHQX1                  | Physically Disconnected
cs_registers_i_u_depc_csr_rdata_q_reg\[30\] | DFFRHQX1                  | Physically Disconnected
cs_registers_i_u_mcause_csr_rdata_q_reg\[5\] | DFFRHQX1                  | Physically Disconnected
cs_registers_i_u_mepc_csr_rdata_q_reg\[4\] | DFFRHQX1                  | Physically Disconnected
cs_registers_i_u_mepc_csr_rdata_q_reg\[16\] | DFFRHQX1                  | Physically Disconnected
cs_registers_i_u_mepc_csr_rdata_q_reg\[17\] | DFFRHQX1                  | Physically Disconnected
cs_registers_i_u_mepc_csr_rdata_q_reg\[18\] | DFFRHQX1                  | Physically Disconnected
cs_registers_i_u_mepc_csr_rdata_q_reg\[21\] | DFFRHQX1                  | Physically Disconnected
cs_registers_i_u_mepc_csr_rdata_q_reg\[23\] | DFFRHQX1                  | Physically Disconnected
cs_registers_i_u_mepc_csr_rdata_q_reg\[31\] | DFFRHQX1                  | Physically Disconnected
g90955                    | AOI211XL                  | Physically Disconnected
g90957                    | AOI211XL                  | Physically Disconnected
g90794                    | OAI22XL                   | Physically Disconnected
g90797                    | OAI22XL                   | Physically Disconnected
g90803                    | OAI22XL                   | Physically Disconnected
g91088                    | OAI22XL                   | Physically Disconnected
g91090                    | OAI22XL                   | Physically Disconnected
g91091                    | OAI22XL                   | Physically Disconnected
g101742                   | INVXL                     | Physically Disconnected
g102134                   | INVXL                     | Physically Disconnected
g103206                   | INVXL                     | Physically Disconnected
g102133                   | INVX1                     | Physically Disconnected
g91019                    | INVX1                     | Physically Disconnected
g91365                    | INVX1                     | Physically Disconnected
g91366                    | INVX1                     | Physically Disconnected
g91437                    | INVX1                     | Physically Disconnected
g101844                   | NOR2X1                    | Physically Disconnected
g91336                    | NOR2X1                    | Physically Disconnected
g102334                   | NAND2X1                   | Physically Disconnected
g101713__1705             | OAI2BB1X1                 | Physically Disconnected
g101749__7098             | OAI2BB1X1                 | Physically Disconnected
g101758__9945             | OR2X1                     | Physically Disconnected
g101817                   | AOI221X1                  | Physically Disconnected
g90958                    | AOI221X1                  | Physically Disconnected
g101759__2883             | OA21X1                    | Physically Disconnected
g91569                    | NAND2XL                   | Physically Disconnected
g91570                    | NAND2XL                   | Physically Disconnected
g91571                    | NAND2XL                   | Physically Disconnected
g101853                   | NAND4XL                   | Physically Disconnected
g101854                   | OAI221X1                  | Physically Disconnected
g91072                    | OAI221X1                  | Physically Disconnected
g91109                    | OAI221X1                  | Physically Disconnected
g91111                    | OAI221X1                  | Physically Disconnected
g91112                    | OAI221X1                  | Physically Disconnected
g91126                    | OAI221X1                  | Physically Disconnected
g101864                   | AOI22XL                   | Physically Disconnected
g101622__2802             | OAI21XL                   | Physically Disconnected
g91829                    | NOR2XL                    | Physically Disconnected
g91863                    | NOR2XL                    | Physically Disconnected
g91865                    | NOR2XL                    | Physically Disconnected
g91868                    | NOR2XL                    | Physically Disconnected
g91869                    | NOR2XL                    | Physically Disconnected
g91870                    | NOR2XL                    | Physically Disconnected
g91511                    | AOI22X1                   | Physically Disconnected
g91515                    | AOI22X1                   | Physically Disconnected
g91517                    | AOI22X1                   | Physically Disconnected
g91518                    | AOI22X1                   | Physically Disconnected
g91519                    | AOI22X1                   | Physically Disconnected
g91520                    | AOI22X1                   | Physically Disconnected
g101756__6161             | NOR4X1                    | Physically Disconnected
g101811                   | AOI222X1                  | Physically Disconnected
g90934                    | AOI222X1                  | Physically Disconnected
cs_registers_i_u_mstack_epc_csr_rdata_q_reg\[11\] | DFFRHQX1                  | Physically Disconnected
cs_registers_i_u_mstack_epc_csr_rdata_q_reg\[12\] | DFFRHQX1                  | Physically Disconnected
cs_registers_i_u_mstack_epc_csr_rdata_q_reg\[13\] | DFFRHQX1                  | Physically Disconnected
cs_registers_i_u_depc_csr_rdata_q_reg\[12\] | DFFRHQX1                  | Physically Disconnected
cs_registers_i_u_mcause_csr_rdata_q_reg\[3\] | DFFRHQX1                  | Physically Disconnected
cs_registers_i_u_mepc_csr_rdata_q_reg\[3\] | DFFRHQX1                  | Physically Disconnected
cs_registers_i_u_mepc_csr_rdata_q_reg\[7\] | DFFRHQX1                  | Physically Disconnected
cs_registers_i_u_mepc_csr_rdata_q_reg\[13\] | DFFRHQX1                  | Physically Disconnected
cs_registers_i_u_mepc_csr_rdata_q_reg\[15\] | DFFRHQX1                  | Physically Disconnected
cs_registers_i_u_depc_csr_rdata_q_reg\[1\] | DFFRX1                    | Physically Disconnected
cs_registers_i_u_mepc_csr_rdata_q_reg\[1\] | DFFRX1                    | Physically Disconnected
g90883                    | OAI22XL                   | Physically Disconnected
g91020                    | OAI22XL                   | Physically Disconnected
g91083                    | OAI22XL                   | Physically Disconnected
g91084                    | OAI22XL                   | Physically Disconnected
g91085                    | OAI22XL                   | Physically Disconnected
g91087                    | OAI22XL                   | Physically Disconnected
cs_registers_i_u_mtvec_csr_rdata_q_reg\[11\] | SDFFRHQX1                 | Physically Disconnected
cs_registers_i_u_mtvec_csr_rdata_q_reg\[14\] | SDFFRHQX1                 | Physically Disconnected
g102392                   | INVXL                     | Physically Disconnected
g102425                   | INVXL                     | Physically Disconnected
g102434                   | INVXL                     | Physically Disconnected
g102552                   | INVXL                     | Physically Disconnected
g102591                   | INVXL                     | Physically Disconnected
g102784                   | INVXL                     | Physically Disconnected
g103053                   | INVX1                     | Physically Disconnected
g73847                    | INVX1                     | Physically Disconnected
g102669                   | NOR2X1                    | Physically Disconnected
g103082                   | NOR2X1                    | Physically Disconnected
g102809                   | NAND2X1                   | Physically Disconnected
g102840                   | NAND2X1                   | Physically Disconnected
g102824                   | NAND2BX1                  | Physically Disconnected
g101730__7410             | OAI2BB1X1                 | Physically Disconnected
g91432                    | OAI2BB1X1                 | Physically Disconnected
g101788                   | AOI221X1                  | Physically Disconnected
g102413                   | AOI221X1                  | Physically Disconnected
g102822                   | NAND2XL                   | Physically Disconnected
g103022                   | NAND2XL                   | Physically Disconnected
g103088                   | NAND2XL                   | Physically Disconnected
g103101                   | NAND2XL                   | Physically Disconnected
g91567                    | NAND2XL                   | Physically Disconnected
g102363                   | MX2XL                     | Physically Disconnected
g102453                   | MX2XL                     | Physically Disconnected
g91104                    | OAI221X1                  | Physically Disconnected
g91106                    | OAI221X1                  | Physically Disconnected
g101869                   | AOI22XL                   | Physically Disconnected
g101870                   | AOI22XL                   | Physically Disconnected
g102365                   | AOI22XL                   | Physically Disconnected
g102603                   | AOI22XL                   | Physically Disconnected
g102604                   | AOI22XL                   | Physically Disconnected
g102605                   | AOI22XL                   | Physically Disconnected
g102607                   | AOI22XL                   | Physically Disconnected
g102608                   | AOI22XL                   | Physically Disconnected
g102932                   | AOI22XL                   | Physically Disconnected
g102448                   | OAI222X1                  | Physically Disconnected
g102340                   | OAI22X1                   | Physically Disconnected
g102355                   | OAI22X1                   | Physically Disconnected
g102626                   | OAI22X1                   | Physically Disconnected
g91654                    | NAND3BXL                  | Physically Disconnected
g91655                    | NAND3BXL                  | Physically Disconnected
g91826                    | NOR2XL                    | Physically Disconnected
g91872                    | NOR2XL                    | Physically Disconnected
g91874                    | NOR2XL                    | Physically Disconnected
g102455                   | AOI22X1                   | Physically Disconnected
g102611                   | AOI22X1                   | Physically Disconnected
g102616                   | AOI22X1                   | Physically Disconnected
g102624                   | AOI22X1                   | Physically Disconnected
g91509                    | AOI22X1                   | Physically Disconnected
g91521                    | AOI22X1                   | Physically Disconnected
g101809                   | AOI222X1                  | Physically Disconnected
g101810                   | AOI222X1                  | Physically Disconnected
g101812                   | AOI222X1                  | Physically Disconnected
g102412                   | AOI222X1                  | Physically Disconnected
g102436                   | AOI222X1                  | Physically Disconnected
g102439                   | AOI222X1                  | Physically Disconnected
g102440                   | AOI222X1                  | Physically Disconnected
g102478                   | AOI222X1                  | Physically Disconnected
g103253                   | AO21XL                    | Physically Disconnected
cs_registers_i_u_mstack_epc_csr_rdata_q_reg\[5\] | DFFRHQX1                  | Physically Disconnected
cs_registers_i_u_mstack_epc_csr_rdata_q_reg\[8\] | DFFRHQX1                  | Physically Disconnected
cs_registers_i_u_mstack_epc_csr_rdata_q_reg\[9\] | DFFRHQX1                  | Physically Disconnected
cs_registers_i_u_mstack_epc_csr_rdata_q_reg\[10\] | DFFRHQX1                  | Physically Disconnected
cs_registers_i_u_depc_csr_rdata_q_reg\[9\] | DFFRHQX1                  | Physically Disconnected
cs_registers_i_u_depc_csr_rdata_q_reg\[10\] | DFFRHQX1                  | Physically Disconnected
cs_registers_i_u_mepc_csr_rdata_q_reg\[6\] | DFFRHQX1                  | Physically Disconnected
cs_registers_i_u_mepc_csr_rdata_q_reg\[9\] | DFFRHQX1                  | Physically Disconnected
g102458                   | OAI22XL                   | Physically Disconnected
g102601                   | OAI22XL                   | Physically Disconnected
g91076                    | OAI22XL                   | Physically Disconnected
g91078                    | OAI22XL                   | Physically Disconnected
g91080                    | OAI22XL                   | Physically Disconnected
g91082                    | OAI22XL                   | Physically Disconnected
cs_registers_i_u_mtval_csr_rdata_q_reg\[5\] | SDFFRHQX1                 | Physically Disconnected
g101287                   | INVXL                     | Physically Disconnected
g102345                   | INVXL                     | Physically Disconnected
g102435                   | INVXL                     | Physically Disconnected
g102464                   | INVXL                     | Physically Disconnected
g102515                   | INVXL                     | Physically Disconnected
g102785                   | INVXL                     | Physically Disconnected
g101380                   | INVX1                     | Physically Disconnected
g101382                   | INVX1                     | Physically Disconnected
g101504                   | INVX1                     | Physically Disconnected
g101614                   | INVX1                     | Physically Disconnected
g101615                   | INVX1                     | Physically Disconnected
g102396                   | INVX1                     | Physically Disconnected
g102558                   | INVX1                     | Physically Disconnected
g102599                   | INVX1                     | Physically Disconnected
g103183                   | INVX1                     | Physically Disconnected
g103187                   | INVX1                     | Physically Disconnected
